Neighborhood,enrollment rate,not enrolled rate,grade 1 rate,grade 2 rate,grade 3 rate,grade 4 rate,grade 5 rate,grade 6 rate,grade 7 rate,grade 8 rate,grade 9 rate,grade 10 rate,grade 11 rate,grade 12 rate,graduate rate,undergraduate rate
Strip District,87.99048751486326,81.45065398335315,0.0,0.0,0.0,0.0,0.0,1.070154577883472,0.0,0.0,0.0,0.0,0.0,0.0,1.6646848989298455,1.78359096313912
Summer Hill,87.84099766173033,72.72018706157444,0.7014809041309431,0.0,2.260327357755261,0.0,0.46765393608729544,0.0,1.0132501948558068,0.0,1.1691348402182384,1.7926734216679656,0.0,0.3897116134060795,0.3897116134060795,3.117692907248636
Perry North,87.4190612601125,68.11251961007393,0.6235653203739162,0.4796656310568587,0.3357659417398011,1.415013611617733,1.8706959611217489,1.486963456276262,0.7674650096909739,0.6475486019267592,0.6715318834796022,0.5036489126097017,0.359749223292644,1.2231473591949897,1.8946792426745918,5.2043720969669165
Manchester,87.36543985341768,69.23813330036846,0.0,0.4088866139785539,1.0449324579451933,0.4088866139785539,2.0444330698927695,0.8177732279571078,0.5906139979690224,1.5446827639189813,0.45431845997617104,1.40838722592613,0.7723413819594906,0.7723413819594906,1.5901146099165986,4.270593523776007
Central Northside,87.34484310927202,70.60477770431253,0.8339146972950299,0.6486003201183566,0.6486003201183566,0.6486003201183566,0.9574576154128122,0.9574576154128122,3.0576872234151096,0.27797156576501,0.9574576154128122,0.4015144838827921,1.6987151241195053,0.7721432382361387,2.594401280473426,0.895686156353921
Crafton Heights,87.16982868322744,64.26791642564513,2.0924437906024,2.0004682393671294,1.471608819764325,0.8277799611174327,1.2876577172937842,1.3106516051026018,2.0234621271759465,1.0807127270144261,0.8507738489262503,0.34490831713226366,0.43688386836753396,1.7705293612789534,0.41388998055871634,3.839979264072535
Garfield,86.5176169815134,62.75105570738641,2.5897988659366926,0.48129005473159775,0.6417200729754636,0.9396615354283575,0.9167429613935195,1.1688472757767374,1.0542544056025476,2.383531699623151,0.8709058133238434,2.108508811205095,1.0771729796373855,1.1688472757767374,0.8709058133238434,5.935910675023039
Allegheny Center,86.43434971997512,61.91661481020535,2.8624766645924082,0.0,0.0,2.0535158680771626,0.0,1.6801493466085875,0.0,0.12445550715619166,0.37336652146857496,0.6222775357809583,0.0,1.3067828251400124,3.1736154324828876,9.334163036714374
Lower Lawrenceville,86.42868769168972,66.61085969363431,2.329523222940075,0.0,1.0465973900165553,0.5739405042026271,2.228239604551376,2.329523222940075,1.5192542758304834,0.0,0.2700896490365304,0.0,1.5530154819600497,0.5739405042026271,4.726568858139282,2.6671352842357376
Polish Hill,86.16132212107553,77.79098550792555,0.0,0.3985874577690464,0.0,0.33215621480753865,0.0,0.13286248592301547,0.0,0.6643124296150773,0.0,0.4650187007305542,0.0,1.8600748029222167,2.524387232537294,1.3950561021916625
Morningside,86.13517897117774,67.26564199630558,0.6042646483947418,0.5767980734677081,1.9226602448923602,0.9063969725921127,0.5767980734677081,0.27466574927033716,1.8402605201112592,0.5218649236136406,0.8239972478110116,0.10986629970813487,0.21973259941626974,0.4394651988325395,3.817853914857687,5.410915260625642
East Liberty,85.88797884951104,62.79806405089202,0.7154621486896036,0.48781510137927514,1.0569327196550962,0.3577310743448018,0.13008402703447336,0.4715545979999659,0.5853781216551301,1.7561343649653904,1.235798256827497,1.1219747331723329,1.2520587602068063,2.1626469494481197,4.991974537447915,4.683024973241041
Friendship,85.43575212968719,56.78322892794867,0.0,0.0,0.8064451894529052,0.0,0.04743795232075912,0.0,0.04743795232075912,0.04743795232075912,0.5692554278491094,0.09487590464151824,0.5218174755283503,1.0910729033774598,19.402122499190483,5.028422946000467
Troy Hill,85.37441694917639,67.80071674121109,0.0,0.0,0.0,0.26859367130077966,0.23022314682923972,1.8801556991054575,0.3453347202438596,0.9976336362600388,2.1487493704062373,1.9568967480485373,1.3045978320323584,0.3453347202438596,2.4940840906500967,4.6812039855278735
Point Breeze North,85.3476540818622,69.89375786950856,0.0,0.4013999016195753,0.0,0.0,0.551924864726916,0.7526248155367037,0.0,0.0,0.602099852429363,0.0,0.0,0.7024498278342568,6.4223984259132045,4.415398917815328
Banksville,85.30994002940777,76.25406575113422,0.5181221601997303,0.49559510975626375,0.0,1.1939336735037265,1.216460723947193,0.3829598575389311,0.675811513303996,0.0,0.0,0.29285165576506494,0.337905756651998,0.5631762610866633,2.230177993903187,0.5181221601997303
Highland Park,85.29854089763293,61.78317456255049,0.5859310548608582,0.4166620834566103,1.7187310942585174,0.5338482944287819,0.5338482944287819,0.5989517449688773,0.5598896746448201,1.289048320693888,0.6640551955089726,1.3281103910179453,1.7317517843665364,0.14322759118820977,4.934841550939228,5.091089832235457
Marshall-Shadeland,85.28447173753877,71.7820587560881,0.23081047831539583,0.8078366741038855,0.6058775055779142,0.0721282744735612,0.8799649485774467,2.1926995439962607,0.3894926821572305,0.3750670272625183,0.49047226642021613,0.49047226642021613,1.081924117103418,1.139626736682267,0.2163848234206836,3.173644076836693
Elliott,85.20078072165538,55.511691815405925,1.5880210345203192,0.8975771064680064,1.9332429985464754,1.208276874091547,1.2773212668967784,1.208276874091547,3.383175247456332,0.6904439280523126,4.2117079611191075,0.6904439280523126,2.3129871589752473,2.2094205697674005,1.2773212668967784,3.417697443858948
Mount Oliver Borough,85.1380916735293,61.49725295761317,0.4401908632755469,2.149167155992376,0.4142972830828677,2.01969925502898,1.0357432077071693,1.708976292716829,1.4759340709827162,0.0,2.5116772786898856,1.2946790096339615,0.31072296231215074,2.69293234003864,1.6571891323314707,3.1590167835068663
South Oakland,84.72926503472186,38.200960730431305,0.4949819606839422,0.2911658592258483,0.524098546606527,0.0,0.7279146480646209,0.0,1.4558292961292418,1.397596124284072,0.0,1.1064302650582236,0.0,0.3202824451484332,9.870522627756259,30.339482531333395
Oakwood,84.64730290456431,73.44398340248964,0.9128630705394192,1.3278008298755186,0.0,0.0,0.9958506224066389,0.9128630705394192,0.0,0.49792531120331945,0.0,0.49792531120331945,0.0,0.9128630705394192,0.0,2.6556016597510372
Lincoln Place,84.55422496486737,69.51622592865729,0.5774189947125742,0.30126208419786477,0.5523138210294187,0.3765776052473309,0.6527345157620403,0.6527345157620403,1.5063104209893237,2.359886326216607,0.25105173683155396,1.4058897262567023,0.6025241683957295,1.330574205207236,0.7782603841778173,1.958203547286121
Crawford-Roberts,84.35999212222596,62.633868861049436,0.9395080329157415,0.0,1.6441390576025476,0.9395080329157415,1.3309697132973004,0.7046310246868062,0.2740231762670913,0.8612156968394298,0.8220695288012738,1.2526773772209887,1.2526773772209887,0.0,1.0569465370302094,7.594356599402244
Homewood South,84.31980109256251,61.670169734669976,0.6933560619763021,0.6933560619763021,1.6948703737198496,1.4637516863944153,1.1170736554062644,1.6948703737198496,0.0,1.0785538741853589,1.1941132178480758,1.4252319051735098,0.577796718313585,1.0785538741853589,1.4637516863944153,3.1971418413351707
Middle Hill,84.16680253920843,68.63282505373641,1.0258287018707934,0.0,0.928130730264051,0.14654695741011334,0.6350368154438245,0.8792817444606801,0.0,0.6350368154438245,0.43964087223034004,0.8304327586573089,0.6838858012471956,3.2728820488258648,1.0258287018707934,4.005616835876431
